ID,name,course,cgpa,mobilenumber,mail
1,Patsy Stebles,English,0.01,5482997597,pstebles0@shop-pro.jp
2,Gabby Curror,English,2.96,8623113537,gcurror1@prlog.org
3,Bobbie Penney,History,0.31,8249409961,bpenney2@soup.io
4,Marshall Dooland,Science,0.29,7656677209,mdooland3@gizmodo.com
5,Hale Gibbings,Science,3.5,6702329206,hgibbings4@vistaprint.com
6,Heindrick Varney,Math,0.91,4698952930,hvarney5@artisteer.com
7,Elbertina Dimnage,Math,2.63,6203001174,edimnage6@issuu.com
8,Averyl Rickets,English,1.01,7625772320,arickets7@mysql.com
9,Elmira Kleisel,Science,2.93,5558449369,ekleisel8@telegraph.co.uk
10,Brittani McMurraya,English,0.02,5972389682,bmcmurraya9@flickr.com
